1007000959	horse manure
1007000991	currency note
1007001007	stable manure
1007001039	savanna soil
1007001055	chloropicrin enriched soil
1007001071	tropical soil
1007001087	water scum
1007001119	ocean time series station
1007001295	water well
1007001311	gravel
1007001327	oceanic sea surface microlayer biome
1007001343	marine subtidal rocky reef biome
1007001359	marine anoxic zone
1007001375	biogenous sediment
1007001391	deep ocean current
1007001407	boulder sediment
1007001423	marine hydrothermal plume
1007001439	marine coral reef crest
1007001471	savanna biome
1007001487	montane grassland biome
1007001503	tropical coniferous forest biome
1007001519	subtropical moist broadleaf forest biome
1007001535	desert scrubland
1007000002	bedding-plane cave
1007000018	saline hydrographic feature
1007000034	pond
1007000050	volcanic hydrographic feature
1007000066	railway
1007000082	mountain
1007000098	desert
1007000114	cultivated habitat
1007000130	stream valley
1007000146	ice cap
1007000162	banana plantation
1007000178	moraine
1007000194	olive grove
1007000210	photic zone
1007000226	highly stratified estuary
1007000242	tidal mudflat
1007000258	flood fringe
1007000274	continental slope
1007000290	horst
1007000306	peninsula
1007000322	joint-plane cave
1007000354	island arc
1007000370	brine pool
1007000386	river mouth
1007000402	mud volcano
1007000418	ria
1007000434	outwash fan
1007000450	irrigation reservoir
1007000482	sea floor
1007000498	volcanic dike
1007000514	crater
1007000530	apron
1007000546	lake sediment
1007000562	park
1007000594	Xeric basin biome
1007000610	air
1007000626	acid habitat
1007000642	freshwater habitat
1007000658	limestone
1007000674	creosote contaminated soil
1007000690	anaerobic mud
1007000706	sea water
1007000738	neutral hot spring
1007000754	saline water aquarium
1007000770	power plant
1007000786	anthrosol
1007000802	ferralsol
1007000818	clay soil
1007000930	grass silage
1007000946	acetamide enriched soil
1007000962	dairy
1007000994	rye grass silage
1007001010	scum
1007001042	farm soil
1007001058	frozen compost soil
1007001074	heat stressed soil
1007001090	lake bottom mud
1007001106	ice piedmont
1007001298	upwelling
1007001330	oceanic bathypelagic zone biome
1007001346	marine ultramafic hydrothermal vent biome
1007001362	mesoscale marine eddy
1007001378	plume front
1007001394	warm surface current
1007001410	granular sediment
1007001426	hyperthermophilic sediment
1007001442	marine coral reef deep fore reef
1007001474	mangrove biome
1007001490	broadleaf forest biome
1007001506	subtropical shrubland biome
1007001522	mediterranean savanna biome
1007001538	cropland biome
1007001602	surface soil
1007001634	creosote
1007000003	anthropogenic feature
1007000019	dry river
1007000035	rapids
1007000051	geyser
1007000067	man-made tunnel
1007000083	hill range
1007000099	island
1007000115	field
1007000131	reef
1007000147	snow field
1007000163	tea plantation
1007000179	levee
1007000195	scree
1007000211	aphotic zone
1007000227	saline wedge estuary
1007000243	lacustrine mudflat
1007000259	alluvial plain
1007000275	continental rise
1007000291	graben
1007000323	lava cave
1007000355	volcanic field
1007000371	tuya
1007000387	intermittent lake
1007000403	shield volcano
1007000419	stack
1007000435	proglacial lake
1007000451	amenity lake
1007000467	university campus
1007000483	plunge pool
1007000499	trough
1007000515	road cut
1007000531	ice cap depression
1007000547	waterhole
1007000563	pier
1007000611	water
1007000627	alkaline habitat
1007000675	sea sand
1007000691	anaerobic stream sediment
1007000707	coastal water
1007000739	nitrobenzene contaminated sediment
1007000755	fresh water aquarium
1007000771	geothermal power plant
1007000787	alisol
1007000803	nitisol
1007000819	garden soil
1007000835	ocean basin
1007000899	animal house
