"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Plymouth Culture Collection","","Citadel Hill, Plymouth, Devon, PL1 2PB","","","","","","United Kingdom"
"Industrial Culture Collection","","Circuito interior s/n, D.F., , , 04510","","","","","","Mexico"
"Instituto de Microbiologia y Zoologia Agricola","","C.C.25 (1712), Castelar, Buenos Aires,","","","","","","Argentina"
"Department of Pathology, Faculty of Medical Science, Ramathibordi Hospital","","Rama VI Road, Bangkok, Payathai, 10400","","","","","","Thailand"
"Chinese Academy of Sciences, Shenyang","","Institute of Applied Ecology, Shenyang","","","","","","China"
"Bureau of Mineral Resources","","Canberra, Australian Capital Territory","","","","","","Australia"
"Australian National University","","Canberra, Australian Capital Territory","","","","","","Australia"
"Moore Laboratory of Zoology, Occidental College","","1600 Campus Road, Los Angeles CA 90041","","","","","","USA"
"University of Kansas - Biodiversity Institute","Zack Falin","1501 Crestline Dr. suite 140, Public Safety Building, University of Kansas","","","Lawrence","Kansas","66045","USA"
"Plant Industry Laboratory","","Alberta, Edmonton, Alberta Agriculture","","","","","","Canada"
"University of Georgia Museum of Natural History","","University of Georgia, Athens, Georgia","","","","","","USA"
"National Museum of Marine Biology and Aquarium","","2 Houwan Road, Checheng, Pingtung, 944","","","","","","Taiwan"
"Museo de Ciencias Naturales","","Plaza Morelos, Los Caobos, Caracas 101","","","","","","Venezuela"
"Faculty of Fisheries, Mie University","","Fisheries Research Laboratory, Mie-ken","","","","","","Japan"
"Transvaal Museum","Teresa Kearney","P.O. Box 413","","","Pretoria","Gauteng","Yes","South Africa"
"Utah Museum of Natural History","Janaki Krishna","301 Wakara Way","University of Utah","","Salt Lake City","UT","84108","USA"
"Royal Tyrell Museum of Paleontology","","Box 7500,  Drumheller, Alberta T0J 0Y0","","","","","","Canada"
"Karl-Marx-Universitat Leipzeg","","Sektion Geophysik (Sammlung Langenham)","","","","","",""
"Geologic Museum","","Institute of Geologic Sciences, London","","","","","","United Kingdom"
"Senckenberg Deutsches Entomologisches Institut","Dr. Stephan M. Blank","Senckenberg Deutsches Entomologisches Institut","Eberswalder Str. 90","","Müncheberg","","15374","Germany"
"Lubee Bat Conservancy","","1309 NW 192nd Ave Gainesville FL 32609","","","","","","USA"
"Phu Qui's Fruit Tree Center-Vietnam","","Quang Tien  commun- Thai Hoa - Nghe An","","","","","","Viet Nam"
"Regional Agency for Agriculture and Forestry Services","","Copernicus Way, 38   20125 Milano (MI)","","","","","","Italy"
"Institute of Forest Genetics","","2480 Carson Road Placerville, CA 95667","","","","","","USA"
"Limnological Institute, Siberian Branch, Russian Academy of Sciences","","Ulan-Batorskaya str. 3 Irkutsk  664033","","","","","","Russia"
"Institut de Biologia Evolutiva, (CSIC-UPF)","","Barceloneta 37, 08003 Barcelona, SPAIN","","","","","","Spain"
"National Collection of Agricultural Microorganisms","","University str. 1, Tashkent, , 700140","","","","","","Uzbekistan"
"Colleccion de Cuttivos Finlay","","27# 19805, Civdad de la Habara, 11600","","","","","","Cuba"
"Southern Regional Research Center, Agricultural Research Service, United States Department of Agriculture","","P.O.Box 19687, New Orleans, LA, 70179","","","","","","USA"
"Department of Biotechnology","","Yamadaoka 2-1, Suita, Osaka, 565-0871","","","","","","Japan"
"Collection de genomes d'organismes symbiotiques","",", Cite universitaire, Quebec, G1K 7P4","","","","","","Canada"
"Plant Gene Resources of Canada national and international base and active collections","","Building 75, Ottawa, Ontario, K1A 0C6","","","","","","Canada"
"Laboratorium voor Tropische Hygiene","","Meibergdreef 39, 1105 AZ Amsterdam, ,","","","","","","Netherlands"
"Department of Plant Protection, Faculty of Agricultural Production","","Phrao Road, Sansai, Chiang Mai, 50290","","","","","","Thailand"
"Benaki Phytopathological Institute Collection","","St. Delta, 8, Kifissia, Athens, 14561","","","","","","Greece"
"Russian National Collection of Industrial Microorganisms","","Dorozhnyi Proezd, 1, Moscow, , 113545","","","","","","Russia"
"Japan Collection of Microorganisms","","2-1 Hirosawa, Wako, Saitama, 351-0198","","","","","","Japan"
"Culture Collection of Microorganisms","","Ciudad Universitaria, 28040 Madrid, ,","","","","","","Spain"
"Culture Collection of Basidiomycetes","","Videnska 1083, Prague 4 Krc, , 142 20","","","","","","Czech Republic"
"Boonchird lab, Department of Biotechnology, Mahidol University","","Rama VI Rd., Bangkok, Thailand, 10400","","","","","","Thailand"
"Department of Microbiology, Songkla University","","Kanchanavanit Road, Haad-Yai, Songkla","","","","","","Thailand"
"School of Biological Sciences Culture Collection","","Stag Hill, Guildford, Surrey, GU2 5XH","","","","","","United Kingdom"
"Collection of Leptospira Strains","","Viale Regina Elena 299, Rome, , 00161","","","","","","Italy"
"Nationales Konsiliarlabor fur Adenoviren","","Carl-Neuberg-Str.1, Hannover, , 30625","","","","","","Germany"
"Research Institute for Microbial Diseases, Research Center for Emerging Infectious Diseases","","3-1 Yamadaoka, Suita, Osaka, 565-0871","","","","","","Japan"
"Centro per gli Enterobatteri Patogeni per l'Italia Meridionale","","Via del Vespro, 133, Palermo, , 90127","","","","","","Italy"
"CSIRO Insect Pathogen Culture Collection","","P.O. Box 1700, Canberra, A.C.T., 2601","","","","","","Australia"
"Australian Collection of Microorganisms","","St. Lucia, Brisbane, Queensland, 4072","","","","","","Australia"
"Mohonk Preserve, Inc.","","P.O. Box 715,  New Paltz, N.Y., 12561","","","","","",""
"Instituut voor Taxonomische Zoologie, Zoologisch Museum","","Amsterdam, Universiteit van Amsterdam","","","","","","Netherlands"
"Museo Civico di Storia Naturale &quot;Giacomo Doria&quot;","","Via Brigata Liguria 9 - Centro, Genoa","","","","","","Italy"
"Institute of Biology","","Torun, Uniwersytet Mikolaja Koperniki","","","","","","Poland"
"Guangdong Entomology Institute","","Guangdong, Guangzhou, Academia Sinica","","","","","","China"
"Catedra de Zoologia Agricola","","Mendoza, Universidad Nacional de Cuyo","","","","","","Argentina"
"Veterinary Pathology and Bacteriology Collection","","University of Sydney, New South Wales","","","","","","Australia"
"Culture Collection of the Research and Development Department","","Higeta Shoyu Co., Ltd., Choshi, Chiba","","","","","","Japan"
"Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH","","Inhoffenstrae 7 B, 38124 Braunschweig","","","","","","Germany"
"Zoological Survey of India","","Northern Regional Station, Dehra Dunn","","","","","","India"
"Texas Memorial Museum, Texas Natural History Collection","","24th and Trinity, Austin, Texas 78705","","","","","","USA"
"Museu Regional do Dundo","","C.P. 54, Dundo, Chitato, Luanda-Norte","","","","","","Angola"
"Fundacion Miguel Lillo","","Miguel Lillo 205, Tucumán 4000","","","","","","Argentina"
"Shenzhen Polytechnic","","Xili Lake, Shenzhen, Guangdong 518055","","","","","","China"
"Culture Collection Trutnov","","Department of Medical and Immunology,","","","","","","Czech Republic"
"International Potato Center","","Panamericana Sur Km 1, Quito, Ecuador","","","","","","Ecuador"
"Institute of Plant and Animal Ecology Ural Branch of Russian Academy of Sciences","","8 Marta St. 202, 620144 Yekaterinburg","","","","","","Russia"
"BioCC BioCen Culture Collection","","1 1/2 Beltran, Bejucal, Havana, 6048","","","","","","Cuba"
"Culture Collection IBSO","","Akademgorodok, Krasnoyarsk, , 660036","","","","","","Russia"
"Mycology Collection","","Herman Otto ut 15., Budapest, , 1022","","","","","","Hungary"
"Micoteca da Universidade do Minho","","Campus de Gualtar, Braga, , 4710-057","","","","","","Portugal"
"The Cell Bank of Type Culture Collection of Chinese Academy of Sciences","","320 Yue Yang Rd., Shanghai, , 200031","","","","","","China"
"Department of Microbiology, Faculty of Medicine","","110 Suthep, Chiang Mai, Muang, 50000","","","","","","Thailand"
"Philippine National Collection of Microorganisms","",", BIOTECH-UPLB, College Laguna, 4031","","","","","","Philippines"
"Oregon Collection of Methanogens","","PO Box 751, Portland, OR, 97207-0751","","","","","","USA"
"National Collection of Pathogenic Fungi","","61 Colindale Avenue, London, NW9 5HT","","","","","","United Kingdom"
"Industrial Yeasts Collection","","Borgo XX Giugno 74, Perugia, I-06121","","","","","","Italy"
"Collaborating Centre for Reference and Research on Escherichia and Klebsiella","","5 Artillerivei, Copenhagen, , 2300 S","","","","","","Denmark"
"Centro di Studio dei Microorganismi Autotrofi - CNR","","P.zale Cascine, 27, Firenze, , 50144","","","","","","Italy"
"CSIRO Canberra Rhizobium Collection","","G.P.O. Box 1600, Canberra, ACT, 2601","","","","","","Australia"
"Zoologisches Museum der Universitaet Zuerich","","Karl Schmid-Strasse 4, CH-8006 Zrich","","","","","","Switzerland"
"W.R. Enns Entomology Museum","","University of Missouri, Columbia, MO","","","","","","USA"
"J. Rusek Collection","","Academy of Sciences, Cesk Budejovice","","","","","","Czech Republic"
"Museo de Historia Natural de Valparaiso","","Condell 1546, V Region of Valparaiso","","","","","","Chile"
"Natural History Museum, University of Oslo","Fridtjof Mehlum","Natural History Museum, University of Oslo","P.O. Box 1172 Blindern","","Oslo","","NO-0318","Norway"
"Colo-i-Suva Silvicultural Station","","Ministry of Agriculture and Forestry","","","","","","Fiji"
"Universidade Federal do Rio de Janeiro","","Rio de Janeiro, Seropedica (Itaguai)","","","","","","Brazil"
"Department of Forestry and Environmental Science, State University of New York","","1 Forestry Drive, Syracuse, NY 13210","","","","","","USA"
"Zoological Survey of Pakistan","","Hotel Nazli, Nishtar Road, Karachi 3","","","","","","Pakistan"
"Zoologische Museum Staatssammlung","","Mnchen/Collection of Maurice Kottela","","","","","","Germany"
"Musum of the Biological Laboratory","","Scientific Society of China, Nanking","","","","","","China"
"National Museum of Sri Lanka","","Sir Marcus Fernando Mawatha, Colombo","","","","","","Sri Lanka"
"Zoological Museum, University of Copenhagen","Dr. Nikolaj Scharff","Universitetsparken 15","","","Copenhagen","","DK-2100","Denmark"
"Instituto de Zoologia","","Academia de Ciencias de Cuba, Habana","","","","","","Cuba"
"Slovak National Museum","","Bratislava, Vajanskeho nabrezie c. 2","","","","","","Slovakia"
"Fachberich Geowissenschaften","","Philipps Universitat, Marburg (Lahn)","","","","","",""
"Denver Museum of Nature and Science","John R. Demboski","2001 Colorado Boulevard","","","Denver","Colorado","80205-5798","USA"
"Divisao de Geologia c Mineralogia","","Direcao Nacional da Producao Mineral","","","","","","Brazil"
"International Collection of Plant Pathogenic Bacteria","","USDA, Ft. Detrick Frederick Maryland","","","","","","USA"
"International Institute of Tropical Agriculture","","PMB 5320, Ibadan, Oyo State, Nigeria","","","","","","Nigeria"
"Zoology Museum of the University of Ghent","","Karel Lodewijk Ledeganckstraat Ghent","","","","","","Belgium"
"Crop Research Institute","","Drnovska 507, 161 06 Praha 6  Ruzyne","","","","","","Czech Republic"
"Humboldt State University Vertebrate Museum","","1 Harpst St. Arcata California 95521","","","","","","USA"
"Kagoshima University Museum","","1-21-30 Korimoto, Kagoshima 890-0065","","","","","","Japan"
"Faculty of Science, The University of Novi Sad","","Obradovica 2, 2100 Novi Sad, Serbia.","","","","","",""
"Centre for Genetic Resources, The Netherlands","","P.O. Box 16 , NL-6700 AA, Wageningen","","","","","","Netherlands"
"Margot Forde Germplasm Centre, AgResearch GrasslandsWar","","Private Bag 11008, Palmerston North","","","","","","New Zealand"
"Microbial Strain Collection of Latvia","","Kronvalda boulv. 4, Riga, , LV-1586","","","","","","Latvia"
"South African Plant Pathogenic and Plant Protecting Bacteria","","Private Bag X 134, Pretoria, , 0001","","","","","","South Africa"
"ZIM Culture Collection of Industrial Microorganisms","","Jamnikarjeva 101, Ljubljana, , 1000","","","","","","Slovenia"
"TUBITAK Marmara Research Center Culture Collection","","P.O.Box 21, Gebze, Kocaeli, , 41470","","","","","","Turkey"
"Soil Science and Conservation Department Faculty of Agriculture","","Huay Kaew, Chiang Mai, Muang, 50002","","","","","","Thailand"
"Department of Genetics, University of Bratislava","","Mlynska dolina, 84215 Bratislava, ,","","","","","","Slovakia"
"Plant Virus Collection","","P.O.Box 16, Wageningen, , NL-6700AA","","","","","","Netherlands"
"Sammlung von Conjugaten Kulturen","","Ohnhorststr. 18, Hamburg, , D-22609","","","","","","Germany"
"Centre de Collection de Type Microbien, Institut de Microbiologie, Universite de Lausanne","","44, rue du Bugnon, CH-1011 Lausanne","","","","","","Switzerland"
"Regional Collection of Animal Viruses and Tissue Cultures","","Szabadsag U.7, Pecs, H-7601 Baranya","","","","","","Hungary"
"Collection de Champignons et Actinomycetes Pathogenes","","du Dr Roux, Paris, , 75724 Cedex 15","","","","","","France"
"The Russia Research Institute for Antibiotics Culture Collection","","Nagatinskaya, 3-a, Moscow, , 113105","","","","","","Russia"
"Roseworthy Yeast Culture Collection","",", Roseworthy, South Australia, 5371","","","","","","Australia"
"Bioresource Collection and Research Center","","P.O.Box 246, Hsinchu, Taiwan, 30099","","","","","","Taiwan"
"MICKKU Culture Collection","","123 Mitraparp Road, Khon Kaen 40002","","","","","","Thailand"
"University of Ghana","","P.O. Box LG 25, Legon, Accra. Ghana","","","","","","Ghana"
"Tasmanian Forest Insect Collection","","tasmania, Hobart, Forestry Tasmania","","","","","","Australia"
"Organization for Tropical Studies","","San Jose, Universidad de Costa Rica","","","","","","Costa Rica"
"Institute of Entomology","","Shanghai, Shanghai, Academia Sinica","","","","","","China"
"Universidade Federal de Sao Carlos","","São Paulo, São Carlos","","","","","","Brazil"
"Agriculture Canada Research Station","","Prince Edward Island, Charlottetown","","","","","","Canada"
"University of the South Pacific","","Institute of Marine Resources, Suva","","","","","","Fiji"
"Universidad Autonoma de Barcelona","","Departamento de Biologia, Barcelona","","","","","","Spain"
"Laboratory of Fisheries, Department of Oceanography","","College of Science, Inha Univeristy","","","","","","Korea"
"Culture Collection of the Institute of New Antibiotics","","Academy of Medical Sciences, Moscow","","","","","","Russia"
"Sarawak Museum","","Jl. Tun Hj. Openg, Kuching, Sarawak","","","","","","Malaysia"
"Museo Civico di Storia Naturale di Genova 'Giacomo Doria'","","Via Brigata Liguria 9, 16121 Genova","","","","","","Italy"
"Institut Fondamental d'Afrique Noire","","B.P. 206, Universit de Dakar, Dakar","","","","","","Senegal"
"Academie imperial des Sciences","","Belles-lettres et Arts de Marseille","","","","","","France"
"Centro di Ricerca per l'Olivicoltura e l'Industria Olearia","","C. da Li Rocchi Rende CS  CAP 87036","","","","","","Italy"
"Australian Tree Seed Centre","","Clunies Ross Street, ACTON ACT 2601","","","","","","Australia"
"Department of Microbiology, Faculty of Science","","Sanambin, Phisanulok, Muang, 65000","","","","","","Thailand"
"Department of Biology, Faculty of Science","","Mitraparp, Khon Kaen, Muang, 40002","","","","","","Thailand"
"Department of Clinical Microbiology, Faculty of Medical Technology","","Mitraparp, Khon Kaen, Muang, 40002","","","","","","Thailand"
"BCCM/IHEM","","14 Wytsmanstreet, Brussels, , 1050","","","","","","Belgium"
"Indonesian Sugar Research Institute, Pusat Penelitian Perkebunan Gula Indonesia","","Jl. Pahlawan 25, Pasuruan, , 67126","","","","","","Indonesia"
"The Collection of algae","",", Borok, Yaroslavl, Nekouz, 152742","","","","","","Russia"
"National Collection of Agricultural and Industrial Microorganisms","","Somloi ut 14-16, Budapest,  H-1118","","","","","","Hungary"
"Bulgarian Research Culture Collection","","Bul. Makedonia No.8, Sofia 1606, ,","","","","","","Bulgaria"
"Gifu Type Culture Collection (GTC), Gifu University Culture Collection (GIFU)","","40 Tsukasa-Machi, Gifu, , 500-8705","","","","","","Japan"
"Bayerische Landesanstalt fur Weinbau und Gartenbau","","Residenzplatz 3, Wurzburg, , 97070","","","","","","Germany"
"Centre of Industrial Microorganisms Collection","","Wolczanska 171/175, Lodz, , 90-530","","","","","","Poland"
"Verticillium dahliae from cotton","","Apartado 247, Torreon, Coah, 27000","","","","","","Mexico"
"Biology Department, Chinese University of Hong Kong","","Shatin, New Territories, Hong Kong","","","","","","Hong Kong"
"Food Science Australia, Ryde","","P.O. Box 52, North Ryde, NSW, 1670","","","","","","Australia"
"Peabody Essex Museum","","East India Square, Salem, MA 01970","","","","","","USA"
"Gaylord Memorial Laboratory Museum","","Route 1, Box 185, Puxico, MO 63960","","","","","","USA"
"W.F. Barr Entomological Collection","","Idaho, Moscow, University of Idaho","","","","","","USA"
"Technologische Faculteit","","Paramaribo, University of Suriname","","","","","","Suriname"
"Rutgers University","","New Jersey, New Brunswick, Rutgers","","","","","","USA"
"Sezione Archeologia, Storia e Scienze Naturali","","Rovereto, Musei Civici di Rovereto","","","","","","Italy"
"Institute of Systematic Zoology","","Krakow, Polish Academy of Sciences","","","","","","Poland"
"Instituto de Pesquisas Tecnologicas","","São Paulo, São Paulo","","","","","","Brazil"
"Instituto Florestal","","São Paulo, São Paulo","","","","","","Brazil"
"Instituto Butanta","","São Paulo ,São Paulo","","","","","","Brazil"
"Instituto Biologico de Sao Paulo","","São Paulo, São Paulo","","","","","","Brazil"
"Universidade de Sao Paulo","","São Paulo, São Paulo","","","","","","Brazil"
"Bee Biology and Systematics Laboratory","","Utah, Logan, Utah State University","","","","","","USA"
"Universidad de Chile","","Estacin Biologa Marina de Montemar","","","","","","Chile"
"Vietnam Type Culture Collection, Center of Biotechnology","","Vietnam National University, Hanoi","","","","","","Viet Nam"
"Rocky Mountain Herbarium, Fungi","","University of Wyoming, Laramie, WY","","","","","","USA"
"Pasteur Institute Collection, Biological Resource Center of Pasteur Institute (CRBIP)","","25-28 rue du Dr. Roux, Paris 75015","","","","","","France"
"Zoological Survey of India","","Eastern Regional Station, Shillong","","","","","","India"
"Laboratorio de Biologia","","Universidad de Chile, Santiago-Sur","","","","","","Chile"
"Institut und Museum fuer Geologie und Palaeontologie","","Georg-August Universitt, Gottingen","","","","","","Germany"
"Facultatea de Geologie si Geofisca","","Universitatea Bucuresti, Bucharest","","","","","",""
"Facultat de Veterinaria, Universitat Autonoma de Barcelona","","Edifici V. Campus de la UAB. 08193","","","","","","Spain"
"C.M. Rick Tomato Genetics Resource Center","","One Shields Avenue  Davis CA 95616","","","","","","USA"
"Fruit Tree Research and Development Center of ThuaThien-Hue-Vietnam","","138 Nguyen Phuc Nguyen-Hue-Vietnam","","","","","","Viet Nam"
"Research Institute for Fruits and Vegetables","","Trau Quy, Gia Lam, Ha Noi, Vietnam","","","","","","Viet Nam"
"Centro di Ricerca per la Patologia Vegetale","","Via G.C.Bertero 22, Rome, RM 00156","","","","","","Italy"
"Culture Collection of Switzerland","","Einsiedlerstr. 29, 8820 Waedenswil","","","","","","Switzerland"
"National Collection of Pathogenic Viruses","","Porton Down, Salisbury, , SP4 0JG","","","","","","United Kingdom"
"Institute of Medical Mycology","","Otsuka, Hachioji, Tokyo, 192-0395","","","","","","Japan"
"CAIRCC","","P.O.Box 2, Jkskl, Jakarta,  12240","","","","","","Indonesia"
"International Entomopathogenic Bacillus Centre (WHO)","","25 rue du Dr Roux, Paris, , 75015","","","","","","France"
"MACS Collection of Microorganisms","","G.G.Agarkar Road, Pune, , 411 004","","","","","","India"
"Culture Collection of Algae (NIVA)","","P.O. Box 173 Kjelsas, N-0411 Oslo","","","","","","Norway"
"Department of Microbiology, University of Western Australia","","Nedlands, Western Australia, 6009","","","","","","Australia"
"Biological Nitrogen Fixation Project College of Agriculture","",", Pune, 411005 Maharashtra State,","","","","","","India"
"Division of Standardisation","","Izatnagar, Uttar Padesh, Norfolk,","","","","","","India"
"Integrated Primate Biomaterials and Information Resource","","403 Haddon Avenue Camden NJ 08103","","","","","","USA"
"Institute of Hydrobiology, Chinese Academy of Sciences","","7 Donghu South Road Wuhan  430072","","","","","","China"
"Palaontologisches Museum","","Berlin, Humboldt-Universität","","","","","","Germany"
"Laboratoire de Parasitologie","","Paris, Université de Paris","","","","","","France"
"Institut de Zoologie [Institut Ed. Van Beneden]","","Liege, Université de Liege","","","","","","Belgium"
"Laboratorio de Ictiologia, Faculdade de Filosofia","","Cincias e Letras de Ribeiro Preto","","","","","","Brazil"
"Museo de La Plata, Instituto de Limnologia","","Instituto de Limnologia, La Plata","","","","","","Argentina"
"Central Australian Museum","","Alice Springs, Northern Territory","","","","","","Australia"
"Universiteit van Amsterdam, Zoologisch Museum","","Plantage Middenlaan 53, Amsterdam","","","","","","Netherlands"
"Universitaet Wien, Zoologisches Institut","","Dr.-Karl-Lueger-Ring 1, 1010 Wien","","","","","","Austria"
"Texas Tech University, Museum","","Box 43191, Lubbock, TX 79409-3191","","","","","","USA"
"Museum national d'Histoire Naturelle, Laboratiore de Paleontologie","","Laboratiore de Palontologie Paris","","","","","","France"
"Museum of Natural History of Humboldt-University","","Institute of Paleontology, Berlin","","","","","","Germany"
"Landesmuseum fur Karnten","","Depart. of Mineralogy and Geology","","","","","",""
"Bulgarian Academy of Science","","Bulgarska Akademia Naukite, Sofia","","","","","","Bulgaria"
"Key Laboratory of Industrial Microbiology and Fermentation Technology","","Yunnan University, Kunming 650091","","","","","","China"
"College of Life Sciences Hebei Univesity, Baoding","","2 Hezuo Road Baoding Hebei 071002","","","","","","China"
"Subsurface Microbial Culture Collection","","Florida State University, Florida","","","","","","USA"
"Centre of Advanced Study in Marine Biology","","Parangipettai - 608502 Tamil Nadu","","","","","","India"
"Swedish Museum of Natural History, Entomology Collections","","Frescativgen 40, 114 18 Stockholm","","","","","","Sweden"
"Francisco Javier Clavijero Botanic Garden","","P.O. Box 63 Xalapa Veracruz 91000","","","","","","Mexico"
"John T. Waterhouse Herbarium","","UNSW SYDNEY 2052, New South Wales","","","","","","Australia"
"Culture Collection of Dairy Microorganisms Laktoflora","","Sobeslavska 841, Tabor, , 390 02","","","","","","Czech Republic"
"Collection of Aquatic Important Microorganisms","","AP 711, Mazatlan, Sinaloa, 82000","","","","","","Mexico"
"Regional Specialized Collection of Alkanotrophic Microorganisms","","13 Goleva Street, Perm, , 614081","","","","","","Russia"
"Microbiology Laboratory, Department of Biology, Faculty of Science","","Ramkamhaeng, Bangkok, Bang Kapi,","","","","","","Thailand"
"Microbiology Department, Faculty of Science","","Phaya Thai Rd., Bangkok, , 10330","","","","","","Thailand"
"Fungal Strain Collection, Laboratory of Cryptogamy","","12, rue Buffon, F-75005 Paris, ,","","","","","","France"
"Perum Bio Farma","","Jl. Pasteur 28, Bandung, , 40161","","","","","","Indonesia"
"Murdoch University Algal Culture Collection","","Murdoch, Western Australia, 6150","","","","","","Australia"
"Department of Microbiology, National University of Singapore","","Lower Kent Ridge Road, Singapore","","","","","","Singapore"
"Dept. Agricult. Chem. Technol.","","Gellert ter 4, 1111 Budapest XI.","","","","","","Hungary"
"Culture Collection of Autotrophic Organisms","","Dukelska 135, Trebon,  379 82 CZ","","","","","","Czech Republic"
"New Zealand Reference Culture Collection of Microorganisms, Dairy Section","","Private Bag, Palmerston North, ,","","","","","","New Zealand"
"Hungarian National Collection of Medical Bacteria","","Gyali ut 2-6, Budapest, , H-1097","","","","","","Hungary"
"Department of Microbiology, Veterinary Branch of National Strain Collection","","Partyzantow 57, Pulawy, , 24-100","","","","","","Poland"
"National Center for Medical Culture Collections","","Temple of Heaven, Beijing 100050","","","","","","China"
"Coleccion de Cepas Microbianas","","Felipe Pescador 1830, Durango, ,","","","","","","Mexico"
"Bulgarian Type Culture Collection","","Vladimir Zaimov No. 26, Sofia, ,","","","","","","Bulgaria"
"Culture Collection, University of Goteborg, Department of Clinical Bacteriology","","Guldhedsg 10, Goteborg, S-413 46","","","","","","Sweden"
"Entomological Laboratory, College of Agriculture","","Kyoto Imperial University, Kyoto","","","","","","Japan"
"Sudan Natural History Museum","","Khartoum, University of Khartoum","","","","","","Sudan"
"KwaZulu-Natal Museum","David G. Herbert","P. Bag 9070","","","Pietermaritzburg","","3200","South Africa"
"Hungarian Natural History Museum (Termeszettudomanyi Muzeum)","","Baross utca 13., Budapest H-1088","","","","","","Hungary"
"Northwest Plateau Institute of Biology","","Academia Sinica, Xining, Qinghai","","","","","","China"
"The Crown Prince's Palace","","Laboratory of Ichthyology, Tokyo","","","","","","Japan"
"Academia de Ciencias","","Instituto de Oceanologia, Habana","","","","","","Cuba"
"Glasgow Museum and Art Galleries","","Natural History/Zoology, Glasgow","","","","","","United Kingdom"
"Portuguese Yeast Culture Collection","","New University of Lisbon, Lisbon","","","","","","Portugal"
"Lunds Universitet, Zoologiska Institutionen","","Helgonavägen 3, 223 62 Lund","","","","","","Sweden"
"Universidad de los Andes, Laboratorio de Biogeografia","","Departamento de Geografia, Mrida","","","","","","Venezuela"
"University of Michigan Museum of Paleontology","Daniel C. Fisher","Museum of Paleontology","The University of Michigan","1109 Geddes Ave.","Ann Arbor","Michigan","48109","USA"
"Naturhistoriska Riksmuseet","","Palaeozoology section, Stockholm","","","","","","Sweden"
"Museo de la Universidad Nacional del Comahue","","Vertebrate Paleontology, Neuquen","","","","","","Argentina"
"Stovall Museum of Science and History","Dr. Janet Braun","University of Oklahoma, Oklahoma","","","Norman","","","USA"
"Department of Geology and Petroleum Geology","","University of Aberdeen, Aberdeen","","","","","",""
"Istituto Sperimentale per la Patologia Vegetale","","Via CG Bertero, 22; 00156 - Roma","","","","","","Italy"
"Natural History Museum Rijeka","","Lorenzov prolaz 1, 51000 Rijeka,","","","","","","Croatia"
"Naturhistorisches Museum, Basel","","Augustinergasse 2, CH-4001 Basel","","","","","","Switzerland"
"College of the Atlantic, Museum","","105 Eden St. Bar Harbor ME 04609","","","","","","USA"
"Culture Collection of Algae at the University of Cologne","","Gyrhofstrasse 15, Cologne 50931","","","","","","Germany"
"Faculty of Biology Gadjah Mada University","","J1. Teknika Selatan, Yogyakarta","","","","","","Indonesia"
"Medical Culture Collection Marburg","","Pilgrimstein 2, D-35037 Marburg","","","","","","Germany"
"Collection of Industrial Microorganisms","","Rakowiecka 36, Warsaw, , 02-532","","","","","","Poland"
"Volcani Center Rhizobium Collection (VCRC)","","P.O. Box 6, Bet Dagan 50 250, ,","","","","","","Israel"
"Culture Collection of Department of Microbiology","","Shizishan, Wuhan, Hubei, 430070","","","","","","China"
"NifTAL Rhizobium Collection (Asia Center)","","P.O. Box 1051-9, Bangkok, 10903","","","","","","Thailand"
"Department of Microbiology and Immunology","","420/6 Rajvithi Road, Bangkok, ,","","","","","","Thailand"
"Biological Sciences","","Mount Pleasant, Harare, , MP167","","","","","","Zimbabwe"
"Provasoli-Guillard National Center for Culture of Marine Phytoplankton","","West Boothbay Harbor, ME, 04575","","","","","","USA"
"Musee de Port Louis","","Mauritius Institute, Port Louis","","","","","","Mauritius"
"Mukaishima Marine Biological Station","","Hiroshima University, Hiroshima","","","","","","Japan"
"Institute of Medicine, Community Medicine Department","","Tribhuvan University, Kathmandu","","","","","","Nepal"
"Faculdad de Biologia, Departamento de Zoologia","","Madrid, Universidad Complutense","","","","","","Spain"
"Plant Protection Centre Collection","Unknown Primary Contact","Ministry for Primary Industries","","","Auckland","","","New Zealand"
"Museu Anchieta","","Rio Grande do Sul, Porto Alegre","","","","","","Brazil"
"Universidade Federal do Rio Grande do Sul, Faculdade Agronomia e Veterenaria","","Rio Grande do Sul, Porto Alegre","","","","","","Brazil"
"Zoological Museum","","Moscow State University, Moscow","","","","","","Russia"
"Tunghai University","","Department of Zoology, Taichung","","","","","","Taiwan"
"University of Tokyo","","Ocean Research Institute, Tokyo","","","","","","Japan"
"National Inland Fisheries Institute","","Fish Taxonomy Division, Bangkok","","","","","","Thailand"
"Pontificia Universidade Catolica do Rio Grande do Sul","","Rio Grande do Sul, Porto Alegre","","","","","","Brazil"
"Laboratorio de Biodiversidade de Recursos Pesqueiros","","Univ. Federal do Rio de Janeiro","","","","","","Brazil"
"Kerala Forest Research Institute","","Peechi, Trichur 680 653, Kerala","","","","","","India"
"International Collection of Phytopathogenic Bacteria","","USDA/ARS, Ft. Detrick, Maryland","","","","","","USA"
"Culture Collection of Entomogenous Bacteria","","Institute of Entomology, Prague","","","","","","Czech Republic"
"Zoology Department, Aegean University, Science Faculty","","Biology Division, Bornova-Izmir","","","","","","Turkey"
