"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Coleccion Mastozoologica del Centro de Investigacion en Biodiversidad y Conservacion,Universidad Autonoma del Estado de Morelos","Unknown Primary Contact","Av. Universidad 1001. Col. Chamilpa","","","Cuernavaca","Morelos","C. P. 62209","Mexico"
"A.N. Severtzov Institute of Ecology and Evolution, Russian Academy of Sciences","","A.N.Severtzov Institute of Ecology and Evolution of RAS: Leninsky pr-t, 33, Moscow, 119071","","","","","","Russia"
"Brucella AFSSA Culture Collection","","AFSSA Alfort, O.I.E./FAO Brucellosis Reference Laboratory, Maisons-Alfort, , BP67 F-94703","","","","","","France"
"Laboratorio de Pocos de Caldas","","Rod. Pocos de Caldas-Andradas, Km 13, Pocos de Caldas, MG, CX. Postal 913, CEP 37.701-970","","","","","","Brazil"
"Mie University Mycological Herbarium","","1577 Kurimamachiya-cho, Tsu City, Mie Prefecture, Faculty of Bioresources, Mie University","","","","","","Japan"
"Cole(e7)o de Culturas do G(ea)ero Bacillus e G(ea)eros Correlatos","Unknown Primary Contact","Av. Brasil, 4365 - Manguinhos, Cx. Postal 926","","","Rio de Janeiro","","21045-900","Brazil"
"Centro de Investigaciones Biologicas del Noroeste","","Km. 1 Carretera a San Juan de La Costa &quot;EL COMITAN&quot;, Apdo. Postal 128, La Paz, BCS 23097","","","","","","Mexico"
"Mar Ivanios College (Zoology museum)","","Department of Zoology, Mar Ivanios College, Thiruvananthapuram, Kerala,  India,  695 015","","","","","","India"
"Waimea Botanical Garden","","Waimea Arboretum and Botanical Garden  59-864 Kamehameha Highway  Haleiwa, Hawaii  96712","","","","","","USA"
"Centro de Investigaciones Biologicas del Noroeste, S.C. (Mexico)","","Mar Bermejo No. 195, Col. Playa Palo de Santa Rita, Apdo. Postal 128; La Paz, BCS 23090","","","","","","Mexico"
"Collection of Environmental and Laboratory Microbial Strains","","Institute of Molecular and Cell Biology, University of Tartu, Riia Str. 23, Tartu 51010","","","","","","Estonia"
"Brazilian Collection of Microorganisms from the Environment and Industry (Colecao Brasileira de Microrganismos de Ambiente e Industria)","","CPQBA-UNICAMP / Av. Alexandre Cazelatto, 999 / Vila Betel, Paulinia, SP, CEP 13140-000","","","","","","Brazil"
"Living Aquatic Resources Research Institute","","Dept of Livestock and Fisheries, Min of Agriculture and Livestock, Vientiane, PO Box 811","","","","","","Laos"
"Chonbuk National University","","Department of Biology, College of Natural Science, Chonbuk National University, Chonju","","","","","","Korea"
"Hallym University","","Herbarium, Department of Life Science, Hallym University Chuncheon Kangwon-do  200-702","","","","","","South Korea"
"International Center for Agricultural Research in the Dry Areas","","Aleppo-Damascus Highway, Tel Hadya, Aleppo, P.O. Box 5466, Aleppo,Syrian Arab Republic","","","","","","Syria"
"Naturhistoriska Rijkmuseet","","Section for Vertebrate Zoology, Roslagsvägen 120, Box 50007, 104 05 Stockholm 50","","","","","","Sweden"
"Coleccion Boliviana de Fauna","","Calle 26, Museo Nacional de Histoire Natural, Instituto de Ecologa, Cota-Cota, La Paz","","","","","","Bolivia"
"Southern Fruit Research Institute  Vietnam","","Long Dinh, Chau Thanh District, Tien Giang Province, MailBox: 203, My Tho, Tien Giang","","","","","","Viet Nam"
"Centre for Research and Application of Culture Collections of Microorganisms","","KUKENS, Istanbul Medical Faculty, Department of Microbiology, Istanbul, , 34390 Capa","","","","","","Turkey"
"Universidade Federal do Espirito Santo","","Avenida Fernando Ferrari 514 - Campus Universitario Vitoria 29075-910 Espirito Santo","","","","","","Brazil"
"Arabidopsis Biological Resource Center","","The Ohio State University,  Rightmire Hall,  1060 Carmack Road, Columbus, Ohio 43210","","","","","","USA"
"Coleccion de Mastozoologia, Museo de Historia Natural de La Salle","","Edificio Fundacin La Salle, Avenida Boyaca Mariperez, Apartado 1930, Caracas 1010-A","","","","","","Venezuela"
"Zoological Museum, University of Athens","Chris Georgiadis","Zoological Museum","Department of Biology","Panepistimioupolis","Zografou","Attiki","15784","Greece"
"Essig Museum of Entomology","Peter T Oboyski","1101 Valley Life Science Building","University of California","","Berkeley","California","94720-4780","USA"
"Illinois Natural History Survey","Andrew N. Miller","Illinois Natural History Survey","1816 South Oak St.","","Champaign","Illinois","61820","USA"
"University of Alberta, Laboratory for Vertebrate Paleontology","","Department of Biological Sciences, University of Alberta, Edmonton, Alberta T6G 2E9","","","","","","Canada"
"Empresa de Pesquisa Agropecuaria do Rio Grande do Norte","","Rua Major Laurentino de Morais, 1220, Praca Augusto Leite-Tirol, 59.020 Natal, RN,","","","","","","Brazil"
"Belgian Coordinated Collections of Microorganisms / LMBP Plasmid Collection","","'Fiers-Schell-Van Montagu' building, Technologiepark 927, , B-9052 Gent-Zwijnaarde","","","","","","Belgium"
"Texas Cooperative Wildlife Collection","","Department of Wildlife Science, Texas A&amp;M University, College Station, Texas 77843","","","","","","USA"
"Tree Pathology Cooperative Program","","Forestry and Agricultural Biotechnology Institute, University of Pretoria Pretoria","","","","","","South Africa"
"National Culture Collection of Pathogenic Fungi","","Postgraduate Institute of Medical Education and Research, Chandigarh, India-160012","","","","","","India"
"The Mollicutes Collection","","Dept Veterinary Pathobiology, 725 Harrison Street, West Lafayette, Indiana, 47907","","","","","","USA"
"National Collections of Industrial Food and Marine Bacteria (incorporating the NCFB)","","Ferguson Building, Craibstone Estate, Bucksburn, Aberdeen, Scotland, UK, AB21 9YA","","","","","","United Kingdom"
"University of Alberta Museum of Zoology","Bryan Brunet","University of Alberta Museum of Zoology","Room Z1011,  Biological Sci Bldg,","University of Alberta","Edmonton","Alberta","T6G 2E9","Canada"
"Colecao de Culturas Tropical","","Fundacao Tropical de Pesquisas e Tecnologia &quot;André Tosello&quot;, Campinas - SP","","","","","","Brazil"
"Maden Tetkik ve Arama Enstituesue","","Museum, Ankara - Museum of the Mineral Research and Exploration Institute, Ankara","","","","","","Turkey"
"Coleccion Nacional de Cepas Microbianas y Cultivos Celulares","","Av. Instituto Politecnico Nacional 2508, Mexico, D.F., Deleg. G.A. Madero, 07360","","","","","","Mexico"
"Biological Institute Culture Collection of Phytopathogenic Bacteria","","Rodovia Heitor Penteado, Km 3,5, Caixa Postal 70, Campinas, Sao Paulo, 13001-970","","","","","","Brazil"
"Museo de Zoologia &quot;Alfonso L. Herrera&quot;","","Museo de Zoologia, Facultad de Ciencias, Universidad Nacional Autonoma de Mexico","","","","","","Mexico"
"Laboratoire des Symbioses Tropicales et Mediterraneennes","","UMR 113, Campus International de Baillarguet TA 10/J, 34398 Montpellier Cedex 05","","","","","","France"
"Gotheburg University Marine Algal Culture Collection","","Department of Marine Ecology,University of Gothenburg,Box 461,SE-405 30 Gteborg","","","","","","Sweden"
"Victoria Department of Primary Industries, Plant Disease Herbarium","","Private Bag 15, Ferntree Gully Delivery Centre, Ferntree Gully, Victoria, 3156","","","","","","Australia"
"NODAI Research Institute Culture Collection","","Tokyo University of Agriculture, 1-1 Sakuragaoka, Setagaya-ku, Tokyo, 156-8502","","","","","","Japan"
"Microbiology Culture Collection, University of New South Wales","","School of Biotechnology and Biomolecular Sciences, Sydney, New South Wales, 2052","","","","","","Australia"
"HUT Culture Collection","","1-3-1 Kagamiyama, Hiroshima University, Higashi-Hiroshima, Hiroshima, 739-8530","","","","","","Japan"
"Bayerische Staatssammlung fuer Palaeontologie und Geologie","","Mnich (old Bayerische Staatssammlung fr Palontologie und Historische Geologie)","","","","","",""
"University of Veterinary Medicine","","University of Veterinary Medicine Vienna Veterinaerplatz 1 Vienna, Vienna 1210","","","","","","Austria"
"Departamento de Microbiologia Lab. de Genetica de Microrganismos","","Av. Professor Lineu Prestes, 1374, Cidade Universitaria, 05508 Sao Paulo, SP,","","","","","","Brazil"
"University of Puerto Rico at Mayagueez, Rhizobium Culture Collection","","BNF Laboratory, Dept.of Agronomy and Soils, Mayaguez, Puerto Rico, 00681-9030","","","","","","Puerto Rico"
"University of Nebraska State Museum","","307 Morrill Hall, University of NebraskaLincoln, Lincoln, Nebraska 68588-0338","","","","","","USA"
"Amphibian Collection","","Instituto Nacional de los Recursos Naturales Renovables y del Ambiente, Bogot","","","","","","Colombia"
"Paleoantropoloji Dil ve Tarih Cografya Facueltesi","","Ankara niversitesi - Paleoanthropological Department of the Ankara University","","","","","","Turkey"
"Centro de Investigacion, Experimentacion y Servicios del  Champinon","","c/ Peicas, s/n Apartado 8 16220 Quintanar del Rey (Cuenca) Castilla-La Mancha","","","","","","Spain"
"Plant Gene Resources of Canada","","Agriculture and Agri-Food Canada, 1341 Baseline Road, Ottawa, Ontario K1A 0C5","","","","","","Canada"
"University of Tennessee Insect Museum","","Institute of Agriculture, University of Tennessee, Knoxville, Tennessee 37996","","","","","","USA"
"Collection de Recherche","","Laboratoire de Microbiologie, 59 rue de la Liberte, Avranches, Manche, 50300","","","","","","France"
"Fredericton Stock Culture Collection","","P.O. Box 4000, Atlantic Forestry Centre, Fredericton, New Brunswick, E3B 5P7","","","","","","Canada"
"Cepario de la Facultad de Quimica","","Av. Insurgentes Sur y Copilco, Ciudad Universitaria, Del, Mexico.D.F., 04510","","","","","","Mexico"
"Invertebrate Collection","","Galapagos Islands, Santa Cruz, Puerto Ayora, Charles Darwin Research Station","","","","","","Ecuador"
"Zoological Museum of the University of Patras","","Zoological Museum, Department of Biology, University of Patras, 26500 Patras","","","","","","Greece"
"Centro de Biotecnologia e Quimica-CEBIQ","","Rod. BR 459 Itajuba-Lorena, Km 74,5, 12600 Lorena, Sao Paulo, Cx. Postal 16","","","","","","Brazil"
"Setor de Pesquisa Tecnologica de Sistemas de Tratamento de Efluentes Domesticos","","Av. Prof. Frederico Herman Jr, 345, Alto de Pinheiros, 05489 Sao Paulo, SP,","","","","","","Brazil"
"Coleccion de Microhongos","","Av. Progreso No.5, Coyoacan 21, Ciudad de Mexico, Mexico, D.F., C.P., 04110","","","","","","Mexico"
"La Universidad de Los Andes","","Departamento de Ciencias Biolgicas Apartado Areo 4976 , Bogot, DC  Colombia","","","","","","Colombia"
"University of British Columbia","","Cowan Vertebrate Museum, Department of Zoology, Vancouver, British Columbia","","","","","","Canada"
"Iranian Biological Resources Center","","No. 66, Nikoughadam St., Northern Sohrevardi  Ave., Tehran, Iran.1551813513","","","","","","Iran"
"RRL , Jammu INDIA","","D-7, rrl Colony, Canal Road,Jammu, India, Jammu, Jammu And Kashmir, 180001","","","","","","India"
"Instituto de Biologia","","Rio Grande do Sul, Porto Alegre, Universidade Federal do Rio Grande do Sul","","","","","","Brazil"
"Cranbrook Institute of Science","","39221 Woodward Avenue, P.O. Box 801, Bloomfield Hills, Michigan 48303-0801","","","","","","USA"
