"URL","Collection Name","Collection Code","Institution Name","Institution Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status","Status of Collection","Access Eligibility and Rules","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","LSID","Cool URI"
"http://grbio.org/institutional-collection/arthropoda-scorpionida-collection","Arthropoda - Scorpionida collection","SCO","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/3q6g-38h9"
"http://grbio.org/institutional-collection/arthropoda-solpugida-collection","Arthropoda - Solpugida collection","SOL","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/kjvk-s88t"
"http://grbio.org/institutional-collection/arthropoda-thysanura-collection","Arthropoda - Thysanura collection","APT.T","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/y4cy-rias"
"http://grbio.org/institutional-collection/arthropoda-xiphosura-collection","Arthropoda - Xiphosura collection","XIP","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/ytsz-dz56"
"http://grbio.org/institutional-collection/athropoda-opiliones","Athropoda - Opiliones","OPI","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/ezb8-wi68"
"http://grbio.org/institutional-collection/aves","Aves","A","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal","ECOCH","","","","","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","","","http://grbio.org/cool/vphb-mfv0"
"http://grbio.org/institutional-collection/aves-0","Aves","A0","Biodiversity Research Museum, Academia Sinica, Taiwan","BRCAS","","","","Collection Identifiers ASIZA0000001~ASIZA0999999","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/0yyr-7y9t"
"http://grbio.org/institutional-collection/aves-1","Aves","AVS","Museum of Faculty of Fisheries, Ege University","ESFM","","","","Birds","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","","","http://grbio.org/cool/frhi-ebej"
"http://grbio.org/institutional-collection/bank-edible-and-medicinal-fungi","Bank of Edible and Medicinal Fungi","BEMF","University of Barcelona Culture Collection","UBCC","http://www.ub.edu/bemf","","","","Biological: Living cell or tissue cultures","Storage Environment: Other (please define)","Institutional","Active","","Departament de Biologia Vegetal. 3ª planta","Facultat de Biologia. Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain","Departament de Biologia Vegetal. 3ª planta","Facultat de Biologia. Universitat de Barcelona","Avda. Diagonal, 645","Barcelona","Barcelona","8028","Spain","","","http://grbio.org/cool/1ggk-qch0"
"http://grbio.org/institutional-collection/beecher-crampton-collection","Beecher Crampton Collection","AHUC","UC Davis Center for Plant Diversity","DAV<IH>","http://herbarium.ucdavis.edu","","","AHUC (55 000 specimens) transferred to DAV in 1988. Crampton Collection should be cited as AHUC. Specialty: Poaceae collections are worldwide; other families are mainly from California, esp. the Central Valley, including excellent collections of Fabaceae.","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA","UC Davis Center for Plant Diversity","Plant Sciences MS#7","One Shields Avenue","Davis","CA","95616-8780","USA","","","http://grbio.org/cool/rrb5-yx4x"
"http://grbio.org/institutional-collection/benign-prostatic-hyperplasia-collection","Benign Prostatic Hyperplasia Collection","BPH","Korea Prostate Bank","KPB","http://www.prostatebank.or.kr","","","Primarily preserved gDNA extracted from the BPH patient's blood is on sale each 2ug.","Biological: Molecular derivatives (DNA, RNA, proteins) (non-human)","Storage Environment: Other (please define)","Institutional","Active","","5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","South Korea","5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","South Korea","","","http://grbio.org/cool/ircf-db1j"
